OBJECTID_1,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND,Shape_Leng,Shape_Le_1,OBJECTID,Shape_Le_2,MERGE_SRC,Shape_Length,Shape_Area
432,2058501,Ulvö-havet,Naturreservat,Gällande,2023-04-21 0:00:00,,2023-05-17 0:00:00,2023-05-17 0:00:00, , , ,Västernorrlands Län,Örnsköldsvik,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västernorrlands län,6631.76,822.71,5809.1,415.04,Justerad mot fastighetskarta,511-1557-2013,Miljöbalken,Länsstyrelse,0,43339.03017, ,43339.03017,MPAs_Sverige_Okt_2023,43339.03017,66317555.22
433,2054741,Urfjärden,Övrigt biotopskyddsområde,Gällande,2022-04-28 0:00:00,,2022-06-02 0:00:00,2022-06-02 0:00:00, , , ,Stockholms Län,Norrtälje,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,17.71,0.47,17.24,0.07, , , , ,0,0,6465553,3179.883611,MPAs_Sverige_Okt_2023,3179.883611,176950.7984
434,2054301,Sandgärdets ålgräsäng,Övrigt biotopskyddsområde,Gällande,2020-12-15 0:00:00,,2021-01-21 0:00:00,2021-01-21 0:00:00, , , ,Östergötlands Län,Valdemarsvik,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Östergötlands län,12.55,0,12.55,0, , , , ,0,0,6460945,2919.746391,MPAs_Sverige_Okt_2023,2919.746391,125216.3343
435,2054681,Norrviken,Övrigt biotopskyddsområde,Gällande,2020-12-16 0:00:00,,2021-03-03 0:00:00,2021-03-03 0:00:00, , , ,Stockholms Län,Värmdö,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Värmdö kommun,17.59,7.48,10.11,0.86, , , , ,0,0,6458249,2840.843278,MPAs_Sverige_Okt_2023,2840.843278,175541.2132
436,2051982,Jordhammarsviken,Övrigt biotopskyddsområde,Gällande,2021-12-14 0:00:00,,2022-02-14 0:00:00,2022-02-14 0:00:00, , , ,Västra Götalands Län,Stenungsund,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Västra Götalands län,96.34,11.09,85.25,0.6, , , , ,0,0,6468883,5525.435701,MPAs_Sverige_Okt_2023,5525.435701,962754.3305
437,2056642,Brömsebäckens mynning,Övrigt biotopskyddsområde,Gällande,2021-12-20 0:00:00,,2022-01-14 0:00:00,2022-01-14 0:00:00, , , ,Blekinge Län,Karlskrona,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Blekinge län,0.48,0.06,0.42,0, , , , ,0,0,6464070,508.0301299,MPAs_Sverige_Okt_2023,508.0301299,4990.677419
439,2045376,Rälla-Ekerum,Naturreservat,Gällande,2020-12-16 0:00:00,,2021-01-12 0:00:00,2021-01-12 0:00:00, , , ,Kalmar Län,Borgholm,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Kalmar län,602.59,248.96,353.4,216.42,Slutligt inmätt,511-6395-16,Miljöbalken,Länsstyrelse,0,28482.7107, ,28482.7107,MPAs_Sverige_Okt_2023,28482.7107,6025872.292
440,2056641,Björkenabben,Naturreservat,Gällande,2021-12-20 0:00:00,,2022-01-14 0:00:00,2022-01-14 0:00:00, , , ,Blekinge Län,Sölvesborg,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Blekinge län,142.8,71.68,70.92,54.4,Slutligt inmätt,511-1971-2018,Miljöbalken,Länsstyrelse,0,12735.77568, ,12735.77568,MPAs_Sverige_Okt_2023,12735.77568,1428025.552
441,2049038,Sik,Naturreservat,Gällande,2020-03-16 0:00:00,,2022-01-27 0:00:00,2022-01-27 0:00:00, , , ,Hallands Län,"Falkenberg, Varberg","Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Hallands län,1394.26,73.86,1319.99,0.56,Delvis inmätt,511-7049-11,Miljöbalken,Länsstyrelse,0,21505.29046, ,21505.29046,MPAs_Sverige_Okt_2023,21505.29046,13942564.31
442,2048379,Korsnäs,Naturreservat,Gällande,2023-05-17 0:00:00,,2023-06-16 0:00:00,2023-06-16 0:00:00, , , ,Östergötlands Län,Söderköping,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Östergötlands län,82.66,70.65,11.97,43.59,Ospecificerad,511-12964-17,Miljöbalken,Länsstyrelse,0,5308.546652, ,5308.546652,MPAs_Sverige_Okt_2023,5308.546652,826622.1259
443,2001976,Gamla Varberg och Fyrkullens kustlandskap,Naturreservat,Gällande,1966-08-02 0:00:00,,1966-08-02 0:00:00,2022-05-27 0:00:00, , , ,Hallands Län,Varberg,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Hallands län,157.02,94.27,62.74,1.59,Ospecificerad,511-6151-2017,Miljöbalken,Länsstyrelse,0,6523.222722, ,6523.222722,MPAs_Sverige_Okt_2023,6523.222722,1570237.068
444,2047141,Lundåkrabukten,Naturreservat,Gällande,2017-06-01 0:00:00,,2022-09-15 0:00:00,2022-09-15 0:00:00, , , ,Skåne Län,"Kävlinge, Landskrona","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Skåne län,3689.42,176.54,3512.86,5.97,Slutligt inmätt,511-19042-2012,Miljöbalken,Länsstyrelse,0,27442.06859, ,27442.06859,MPAs_Sverige_Okt_2023,27442.06859,36894145.11
445,2023249,Malören - Vånören,Naturreservat,Gällande,2022-03-09 0:00:00,,2022-04-08 0:00:00,2022-04-08 0:00:00, , , ,Västerbottens Län,Skellefteå,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västerbottens län,2540.02,269.74,2270.23,160.34,Ospecificerad,511-8747-2011,Miljöbalken,Länsstyrelse,0,30819.80503, ,30819.80503,MPAs_Sverige_Okt_2023,30819.80503,25400172.85
446,2043346,Hällsö,Naturreservat,Överklagat,2016-06-02 0:00:00,,,, , , ,Västra Götalands Län,Tanum,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Västkuststiftelsen,219.68,72,147.68,0.82, , , , ,0,0,6488597,10486.38793,MPAs_Sverige_Okt_2023,10486.38793,2197255.887
447,2059301,Hamrar,Naturreservat,Gällande,,,,,,,,,,,,,,,,,,,,,,,,NR_nya_2023,3283.192529,446074.743
448,2001921,Nynäs,Naturreservat,Gällande,,,,,,,,,,,,,,,,,,,,,,,,NR_nya_2023,42540.66956,38224601.14
451,2042627,Harkskärsfjärden,Naturreservat,Gällande,,,,,,,,,,,,,,,,,,,,,,,,NR_nya_2023,15095.33258,3896986.224
454,2057562,Skenäs,Naturreservat,Gällande,,,,,,,,,,,,,,,,,,,,,,,,NR_nya_2023,5695.664425,1112933.567
455,2001676,Strömbäck-Kont,Naturreservat,Gällande,,,,,,,,,,,,,,,,,,,,,,,,NR_nya_2023,15378.36389,4968477.803
457,2057184,Brömsebäckens mynning,Övrigt biotopskyddsområde,Gällande,,,,,,,,,,,,,,,,,,,,,,,,NR_nya_2023,603.7676358,5254.932279
458,2060501,Biotopskyddsområdet Brunnsviken,Övrigt biotopskyddsområde,Beslutat,,,,,,,,,,,,,,,,,,,,,,,,NR_nya_2023,1318.096727,51918.63977
